DATAFLOW,LAST UPDATE,freq,unit,s_adj,indic,State,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2016-04,6.2,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2016-05,6.5,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2016-06,6.3,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2016-07,6.2,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2016-08,6.5,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2016-09,6.1,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2016-10,5.9,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2016-11,6.0,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2016-12,5.9,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2017-01,6.7,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2017-02,7.2,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2017-03,6.8,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2017-04,5.8,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2017-05,5.8,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2017-06,5.2,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2017-07,5.7,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2017-08,5.5,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2017-09,5.6,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2017-10,5.3,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2017-11,5.8,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2017-12,5.7,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2018-01,6.4,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2018-02,6.1,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2018-03,5.8,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2018-04,5.2,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2018-05,4.4,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2018-06,4.8,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2018-07,5.1,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2018-08,5.0,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2018-09,5.0,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2018-10,5.1,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2018-11,4.5,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2018-12,5.1,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2019-01,5.5,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2019-02,6.0,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2019-03,5.7,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2019-04,5.0,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2019-05,4.7,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2019-06,4.3,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2019-07,4.6,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2019-08,4.7,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2019-09,4.3,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2019-10,4.7,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2019-11,4.0,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2019-12,4.6,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2020-01,4.8,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2020-02,5.5,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2020-03,5.4,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2020-04,6.1,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2020-05,6.8,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2020-06,7.4,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2020-07,6.3,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2020-08,6.0,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2020-09,6.0,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2020-10,5.7,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2020-11,5.7,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2020-12,6.6,
